年度,總計(不含助教),文學院,理學院,社會科學院,醫學院,工學院,生物資源暨農學院,管理學院,公共衛生學院,電機資訊學院,法律學院,生命科學院,體育室,軍訓組,師資培育中心,教務處,凝態科學研究中心,
1950,313,72,43,43,58,42,47,,,,,,8,,,,,
1951,336,79,44,48,60,44,51,,,,,,9,,,1,,
1952,353,85,44,47,60,50,55,,,,,,10,,,2,,
1953,389,89,53,54,66,52,63,,,,,,10,,,2,,
1954,438,100,61,61,68,57,67,,,,,,15,6,,3,,
1955,459,101,61,62,65,57,69,,,,,,15,24,,5,,
1956,521,110,69,67,83,63,76,,,,,,15,33,,5,,
1957,518,108,70,65,81,60,75,,,,,,15,39,,5,,
1958,556,114,75,68,95,63,86,,,,,,15,35,,5,,
1959,576,114,76,70,108,59,89,,,,,,15,38,,7,,
1960,582,120,78,68,109,60,89,,,,,,14,39,,5,,
1961,629,127,83,80,123,58,95,,,,,,15,41,,7,,
1962,650,129,87,83,127,59,102,,,,,,16,39,,8,,
1963,696,138,90,87,137,68,112,,,,,,16,40,,8,,
1964,723,151,86,85,145,77,113,,,,,,16,42,,8,,
1965,731,158,92,84,146,82,108,,,,,,16,37,,8,,
1966,768,162,95,89,156,82,117,,,,,,17,42,,8,,
1967,814,167,116,90,164,92,121,,,,,,18,38,,8,,
1968,821,163,100,96,175,88,124,,,,,,18,49,,8,,
1969,912,174,129,104,187,105,140,,,,,,18,47,,8,,
1970,966,181,148,104,200,114,145,,,,,,18,49,,7,,
1971,977,181,138,103,210,118,155,,,,,,18,47,,7,,
1972,"1,022",182,157,107,223,126,156,,,,,,16,48,,7,,
1973,"1,024",174,166,109,237,122,149,,,,,,14,47,,6,,
1974,"1,094",190,176,126,245,128,161,,,,,,15,48,,5,,
1975,"1,088",181,179,117,247,129,165,,,,,,16,48,,6,,
1976,"1,098",182,190,121,243,128,167,,,,,,17,45,,5,,
1977,"1,106",184,192,115,248,127,169,,,,,,18,47,,6,,
1978,"1,123",186,193,114,252,136,171,,,,,,18,46,,7,,
1979,"1,110",181,187,110,251,133,175,,,,,,18,48,,7,,
1980,"1,164",194,190,115,265,148,173,,,,,,21,50,,8,,
1981,"1,169",203,186,109,271,146,176,,,,,,29,41,,8,,
1982,"1,258",221,203,109,296,163,189,,,,,,19,49,,9,,
1983,"1,221",211,198,105,283,172,175,,,,,,20,47,,10,,
1984,"1,276",195,205,120,290,197,191,,,,,,21,47,,10,,
1985,"1,318",212,215,127,301,201,193,,,,,,21,48,,,,
1986,"1,418",218,233,167,302,215,209,,,,,,24,50,,,,
1987,"1,478",210,242,141,325,229,217,40,,,,,26,48,,,,
1988,"1,526",230,261,146,309,236,226,45,,,,,25,48,,,,
1989,"1,547",210,243,144,336,257,235,45,,,,,27,50,,,,
1990,"1,592",220,258,140,348,255,243,52,,,,,27,49,,,,
1991,"1,680",226,266,164,373,280,251,42,,,,,32,46,,,,
1992,"1,727",225,278,158,370,286,262,70,,,,,31,47,,,,
1993,"1,747",229,284,155,342,288,262,77,33,,,,31,46,,,,
1994,"1,793",237,293,141,354,300,263,77,38,,,,43,47,,,,
1995,"1,795",236,296,134,377,291,262,82,39,,,,33,45,,,,
1996,"1,823",238,291,143,379,305,267,87,36,,,,30,47,,,,
1997,"1,813",238,285,142,383,243,250,88,42,61,,,36,44,1,,,
1998,"1,822",240,282,145,389,245,254,87,41,62,,,38,37,2,,,
1999,"1,794",236,282,107,355,258,254,85,41,63,39,,38,33,3,,,
2000,"1,778",235,273,105,356,230,248,87,41,90,41,,37,32,3,,,
2001,"1,783",234,266,101,370,229,251,84,41,92,42,,38,32,3,,,
2002,"1,771",231,262,105,355,230,253,84,42,101,36,,38,28,4,,2,
2003,"1,772",232,204,107,352,230,232,86,41,113,34,76,37,20,5,,3,
2004,"1,802",229,208,108,362,238,228,88,40,130,36,77,33,18,5,,2,
2005,"1,818",234,208,113,355,238,232,88,42,142,37,77,28,17,5,,2,
2006,"1,869",237,214,114,367,246,237,89,38,153,39,85,31,12,5,,2,
2007,"1,901",233,217,119,374,250,242,97,39,161,39,83,31,9,5,,2,
2008,"1,924",227,222,120,384,254,246,104,41,162,36,85,30,6,5,,2,
2009,"1,967",243,228,122,391,263,247,107,43,162,38,83,29,4,5,,2,
2010,"1,972",243,224,123,391,266,247,110,44,164,38,83,27,5,4,,3,
2011,"1,983",250,220,122,399,270,249,107,42,165,40,82,26,4,4,,3,
2012,"1,993",255,222,122,395,266,250,109,48,163,39,87,25,5,5,,2,
2013,"2,044",264,225,128,418,267,243,110,56,162,44,85,31,4,5,1,1,
2014,"2,061",264,229,130,426,266,244,112,56,163,43,87,37,2,,,1,1
2015,"2,068",263,231,133,421,270,248,114,56,161,42,85,41,2,,,1,
,,,,,,,,,,,,,,,,,,
