"title" "time" "views"
"1" "【踩雷動畫】防制洗錢大作戰　小心被盯上" "2017/04/05 18:08" "80836"
"2" "Apple Pay上路　台灣支付接獲10家品牌加入意願" "2017/04/05 17:51" "41324"
"3" "【羨慕片】開名車住豪宅　台灣Google薪水這麼高" "2017/04/05 15:39" "31001"
"4" "獲亞馬遜「寵幸」　這家公司股價狂噴84%" "2017/04/06 00:08" "875"
"5" "​4月6日(四)　全球重要經濟數據預覽" "2017/04/06 00:01" "159"
"6" "韓女薪酸！　這家財閥女性年薪竟只有男性4成" "2017/04/06 00:01" "1184"
"7" "【多頭掃興】美庫存又創新高　油價跳水翻黑" "2017/04/05 23:45" "1038"
"8" "就業數據太棒　美股道瓊勁揚近200點" "2017/04/05 22:25" "2621"
"9" "外匯存底增速緩　台灣有望從「匯率操縱國」中除名" "2017/04/05 21:58" "3749"
"10" "預搶母親節刷卡潮　永豐遠銀祭優惠" "2017/04/05 21:20" "1421"
"11" "文曄及宣昶明暫停交易　或與合作或購併有關" "2017/04/05 20:51" "2921"
"12" "【財訊】新升息時代來了 風險性資產更甜了" "2017/04/05 20:05" "3004"
"13" "【股民哭哭片】郭董要出走？　恐引爆台股淘空危機" "2017/04/05 20:05" "28401"
"14" "兩千、兩百元鈔票被拒收　央行：會去電商家說明" "2017/04/05 19:53" "4994"
"15" "大同股權之爭再過招　市場派批紀念品分配不公" "2017/04/05 19:31" "1829"
"16" "【郭董出手片】鴻海傳出價逾2兆日圓　東芝應聲大漲" "2017/04/05 19:20" "21668"
"17" "【財訊】現金減資大旺股 就比誰的底子硬" "2017/04/05 19:10" "2856"
"18" "【科技新報】科學家利用石墨烯製造電子皮膚，讓義肢有觸覺" "2017/04/05 18:39" "1307"
"19" "重大訊息待公布　宣昶、文曄明日暫停交易" "2017/04/05 18:30" "3291"
"20" "台一國際有價證券　7日起停止買賣" "2017/04/05 18:21" "1409"
"21" "【財訊】讓友達高層入監的美國司法官 低調來台" "2017/04/05 18:00" "2745"
"22" "小米米粉節明登場　新零售策略撒1億民幣紅包" "2017/04/05 17:53" "2219"
"23" "【完勝片】2天綁卡41.5萬張　Apple Pay打趴台..." "2017/04/05 17:50" "26448"
"24" "【台幣惹禍片】上市櫃去年匯損達1344億　金融保險最慘" "2017/04/05 17:49" "10988"
"25" "Wi-Ho!攜Canon辦日本美景攝影賽　特獎送單眼" "2017/04/05 17:18" "687"
"26" "【這檔鴻家軍好慘～】富智康暴跌12%　吃掉今年漲幅一半" "2017/04/05 17:00" "6841"
"27" "【財訊】王謝堂前燕的京料理" "2017/04/05 17:00" "690"
"28" "中華電4月推多款手機方案　老客戶享4千元優惠" "2017/04/05 16:56" "5986"
"29" "台塑越鋼投產有望？越南環境部：已達試車標準" "2017/04/05 16:50" "2368"
"30" "中美冠科延攬美時董座林羣　出任獨董" "2017/04/05 16:48" "629"
"31" "鋼筋銷加國反傾銷終判　豐興0%、東鋼5.9%" "2017/04/05 16:47" "1221"
"32" "新台幣收盤~30.381元　貶值4.5分" "2017/04/05 16:10" "1151"
"33" "八里污水處理廠出包　財部：非列管促參案" "2017/04/05 16:03" "1131"
"34" "【財訊】黃哲斌：囧星人大驚奇！「知識網紅」如何變現？" "2017/04/05 16:00" "295"
"35" "彭博調查：彭淮南卸任前　央行將於Q4開始升息" "2017/04/05 16:00" "5054"
"36" "【看圖說話】南韓24產業領先中國不到1年　台灣呢？" "2017/04/05 15:50" "3287"
"37" "大立光Q1營收季減31%　4月不會比3月好" "2017/04/05 15:41" "2342"
"38" "官網遭駭不顯示？新壽：去年活動正常移除" "2017/04/05 15:17" "564"
"39" "【財訊】于卓民：留住員工始於招募時" "2017/04/05 15:00" "441"
"40" "TPK 3月營收成長14%　Q1季減13.4%" "2017/04/05 14:53" "1009"
