SiteId,SiteName,MonitorDate,PSI,SO2SubIndex,COSubIndex,O3SubIndex,PM10SubIndex,NO2SubIndex
83,麥寮,2017-04-28,56,8,,,56,
80,關山,2017-04-28,45,2,,45,32,
78,馬公,2017-04-28,65,3,3,65,35,
77,金門,2017-04-28,79,6,4,79,49,
75,馬祖,2017-04-28,73,4,4,73,46,
72,埔里,2017-04-28,53,3,6,53,29,
71,復興,2017-04-28,43,7,7,,43,
70,永和,2017-04-28,31,6,9,,31,
69,竹山,2017-04-28,64,4,5,64,48,
68,中壢,2017-04-28,13,7,13,,,
67,三重,2017-04-28,52,7,20,,52,
66,冬山,2017-04-28,58,5,3,58,36,
65,宜蘭,2017-04-28,58,2,3,58,35,
64,陽明,2017-04-28,61,3,2,61,19,
63,花蓮,2017-04-28,57,3,5,57,31,
62,臺東,2017-04-28,42,2,5,42,31,
61,恆春,2017-04-28,58,3,2,58,28,
60,潮州,2017-04-28,53,5,4,53,47,
59,屏東,2017-04-28,57,9,6,57,40,
58,小港,2017-04-28,62,15,5,62,45,
57,前鎮,2017-04-28,45,6,,,45,
56,前金,2017-04-28,79,6,5,79,44,
54,左營,2017-04-28,81,5,5,81,45,
53,楠梓,2017-04-28,71,5,5,71,58,
52,林園,2017-04-28,73,8,4,73,20,
51,大寮,2017-04-28,58,7,4,58,41,
50,鳳山,2017-04-28,48,10,8,,48,
49,仁武,2017-04-28,65,6,5,65,45,
48,橋頭,2017-04-28,70,4,5,70,53,
47,美濃,2017-04-28,55,3,4,55,47,
46,臺南,2017-04-28,82,6,5,82,43,
45,安南,2017-04-28,82,5,4,82,42,
44,善化,2017-04-28,78,6,4,78,43,
43,新營,2017-04-28,78,4,4,78,50,
42,嘉義,2017-04-28,77,6,6,77,49,
41,臺西,2017-04-28,7,7,,,,
40,朴子,2017-04-28,88,5,3,88,54,
39,新港,2017-04-28,86,4,4,86,50,
38,崙背,2017-04-28,84,6,3,84,44,
37,斗六,2017-04-28,80,4,4,80,41,
36,南投,2017-04-28,59,4,5,59,45,
35,二林,2017-04-28,77,6,4,77,50,
34,線西,2017-04-28,52,7,,,52,
33,彰化,2017-04-28,76,3,5,76,43,
32,西屯,2017-04-28,71,5,3,71,40,
31,忠明,2017-04-28,65,4,5,65,30,
30,大里,2017-04-28,75,4,6,75,35,
29,沙鹿,2017-04-28,75,5,3,75,38,
28,豐原,2017-04-28,71,4,3,71,27,
27,三義,2017-04-28,68,4,3,68,33,
26,苗栗,2017-04-28,63,5,5,63,44,
25,頭份,2017-04-28,44,4,,,44,
24,新竹,2017-04-28,58,,4,58,,
23,竹東,2017-04-28,54,5,4,54,39,
22,湖口,2017-04-28,60,6,4,60,38,
21,龍潭,2017-04-28,58,7,4,58,42,
20,平鎮,2017-04-28,59,6,5,59,42,
19,觀音,2017-04-28,60,7,3,60,50,
18,大園,2017-04-28,58,7,4,58,43,
17,桃園,2017-04-28,57,8,6,57,33,
16,大同,2017-04-28,43,6,14,,43,
15,松山,2017-04-28,53,8,7,53,36,
14,古亭,2017-04-28,54,4,5,54,32,
13,萬華,2017-04-28,50,6,6,50,35,
12,中山,2017-04-28,47,6,8,47,37,
11,士林,2017-04-28,54,3,6,54,30,
10,淡水,2017-04-28,53,3,5,53,33,
9,林口,2017-04-28,54,4,4,54,50,
8,菜寮,2017-04-28,55,5,6,55,34,
7,新莊,2017-04-28,58,6,6,58,36,
6,板橋,2017-04-28,50,6,7,50,34,
5,土城,2017-04-28,57,4,5,57,30,
4,新店,2017-04-28,55,3,5,55,33,
3,萬里,2017-04-28,64,4,2,64,60,
2,汐止,2017-04-28,55,7,6,55,32,
1,基隆,2017-04-28,62,4,4,62,26,
83,麥寮,2017-04-27,38,8,,,38,
80,關山,2017-04-27,41,1,,41,14,
78,馬公,2017-04-27,53,2,2,53,21,
77,金門,2017-04-27,56,2,3,56,28,
75,馬祖,2017-04-27,61,2,2,61,35,
72,埔里,2017-04-27,24,4,5,19,24,
71,復興,2017-04-27,41,8,8,,41,
70,永和,2017-04-27,25,4,7,,25,
69,竹山,2017-04-27,34,4,4,28,34,
68,中壢,2017-04-27,34,4,13,,34,
67,三重,2017-04-27,41,3,17,,41,
66,冬山,2017-04-27,53,1,3,53,22,
65,宜蘭,2017-04-27,50,2,4,50,21,
64,陽明,2017-04-27,57,1,2,57,5,
63,花蓮,2017-04-27,57,3,3,57,22,
62,臺東,2017-04-27,41,1,4,41,20,
61,恆春,2017-04-27,54,1,2,54,23,
60,潮州,2017-04-27,56,4,4,50,56,
59,屏東,2017-04-27,54,6,6,54,52,
58,小港,2017-04-27,50,11,5,44,50,
57,前鎮,2017-04-27,47,7,,,47,
56,前金,2017-04-27,51,6,5,47,51,
54,左營,2017-04-27,53,7,5,49,53,
53,楠梓,2017-04-27,64,6,5,46,64,
52,林園,2017-04-27,51,6,4,51,30,
51,大寮,2017-04-27,53,10,5,40,53,
50,鳳山,2017-04-27,55,7,7,,55,
49,仁武,2017-04-27,57,7,6,47,57,
48,橋頭,2017-04-27,52,6,5,37,52,
47,美濃,2017-04-27,50,2,4,50,43,
46,臺南,2017-04-27,41,4,6,41,32,
45,安南,2017-04-27,48,3,5,41,48,
44,善化,2017-04-27,39,6,4,35,39,
43,新營,2017-04-27,43,3,4,38,43,
42,嘉義,2017-04-27,37,6,6,31,37,
41,臺西,2017-04-27,5,5,,,,
40,朴子,2017-04-27,48,5,4,48,38,
39,新港,2017-04-27,45,6,4,45,30,
38,崙背,2017-04-27,46,4,3,46,23,
37,斗六,2017-04-27,35,3,3,35,26,
36,南投,2017-04-27,30,4,7,29,30,
35,二林,2017-04-27,46,2,2,46,21,
34,線西,2017-04-27,25,5,,,25,
33,彰化,2017-04-27,41,2,5,41,21,
32,西屯,2017-04-27,47,2,3,47,22,
31,忠明,2017-04-27,38,3,4,38,19,
30,大里,2017-04-27,31,3,5,31,18,
29,沙鹿,2017-04-27,48,2,3,48,12,
28,豐原,2017-04-27,43,5,2,43,5,
27,三義,2017-04-27,45,1,2,45,12,
26,苗栗,2017-04-27,48,4,3,48,23,
25,頭份,2017-04-27,34,4,,,34,
24,新竹,2017-04-27,52,2,4,52,25,
23,竹東,2017-04-27,45,3,3,45,20,
22,湖口,2017-04-27,53,4,4,53,24,
21,龍潭,2017-04-27,52,5,3,52,31,
20,平鎮,2017-04-27,48,4,4,48,28,
19,觀音,2017-04-27,50,8,4,50,39,
18,大園,2017-04-27,49,6,4,49,28,
17,桃園,2017-04-27,45,5,5,45,25,
16,大同,2017-04-27,42,4,17,,42,
15,松山,2017-04-27,44,4,5,44,25,
14,古亭,2017-04-27,45,4,5,45,25,
13,萬華,2017-04-27,43,3,6,43,27,
12,中山,2017-04-27,43,3,7,43,25,
11,士林,2017-04-27,53,2,4,53,21,
10,淡水,2017-04-27,51,1,5,51,26,
9,林口,2017-04-27,51,3,5,51,40,
8,菜寮,2017-04-27,51,2,6,51,23,
7,新莊,2017-04-27,48,3,6,48,26,
6,板橋,2017-04-27,43,6,6,43,27,
5,土城,2017-04-27,48,5,4,48,18,
4,新店,2017-04-27,51,4,4,51,23,
3,萬里,2017-04-27,60,2,2,60,60,
2,汐止,2017-04-27,48,6,4,48,24,
1,基隆,2017-04-27,56,3,3,56,20,
83,麥寮,2017-04-25,74,6,,,74,
80,關山,2017-04-25,31,1,,31,23,
78,馬公,2017-04-25,52,2,4,51,52,
77,金門,2017-04-25,60,6,4,57,60,
75,馬祖,2017-04-25,61,5,12,61,56,
72,埔里,2017-04-25,75,3,7,75,45,
71,復興,2017-04-25,59,15,13,,59,
70,永和,2017-04-25,56,5,28,,56,
69,竹山,2017-04-25,86,6,7,86,70,
68,中壢,2017-04-25,59,6,19,,59,
67,三重,2017-04-25,67,8,30,,67,
66,冬山,2017-04-25,44,3,5,44,37,
65,宜蘭,2017-04-25,47,3,5,47,36,
64,陽明,2017-04-25,63,3,5,63,16,
63,花蓮,2017-04-25,45,2,5,45,30,
62,臺東,2017-04-25,30,2,5,30,28,
61,恆春,2017-04-25,47,2,2,47,24,
60,潮州,2017-04-25,105,8,7,105,72,
59,屏東,2017-04-25,123,8,9,123,66,
58,小港,2017-04-25,71,19,8,71,66,
57,前鎮,2017-04-25,63,14,,,63,
56,前金,2017-04-25,87,8,8,87,68,
54,左營,2017-04-25,111,4,8,111,69,
53,楠梓,2017-04-25,108,6,7,108,73,
52,林園,2017-04-25,99,9,7,99,48,
51,大寮,2017-04-25,97,14,8,97,,
50,鳳山,2017-04-25,76,10,11,,76,
49,仁武,2017-04-25,104,7,8,104,76,
48,橋頭,2017-04-25,79,5,6,79,64,
47,美濃,2017-04-25,85,2,6,85,56,
46,臺南,2017-04-25,78,7,8,78,70,
45,安南,2017-04-25,78,6,7,76,78,
44,善化,2017-04-25,72,6,6,49,72,
43,新營,2017-04-25,86,7,7,58,86,
42,嘉義,2017-04-25,78,11,10,72,78,
41,臺西,2017-04-25,66,7,,,66,
40,朴子,2017-04-25,78,6,6,57,78,
39,新港,2017-04-25,80,8,7,55,80,
38,崙背,2017-04-25,70,8,7,54,70,
37,斗六,2017-04-25,82,9,8,74,82,
36,南投,2017-04-25,73,5,9,66,73,
35,二林,2017-04-25,70,11,6,53,70,
34,線西,2017-04-25,64,8,,,64,
33,彰化,2017-04-25,68,9,9,42,68,
32,西屯,2017-04-25,66,5,6,55,66,
31,忠明,2017-04-25,62,6,9,50,62,
30,大里,2017-04-25,80,6,12,25,80,
29,沙鹿,2017-04-25,59,5,7,52,59,
28,豐原,2017-04-25,56,6,6,54,56,
27,三義,2017-04-25,45,3,5,41,45,
26,苗栗,2017-04-25,56,4,7,49,56,
25,頭份,2017-04-25,61,4,,,61,
24,新竹,2017-04-25,77,12,10,77,54,
23,竹東,2017-04-25,52,2,7,36,52,
22,湖口,2017-04-25,53,6,6,53,53,
21,龍潭,2017-04-25,57,4,8,46,57,
20,平鎮,2017-04-25,57,7,9,37,57,
19,觀音,2017-04-25,59,8,9,51,59,
18,大園,2017-04-25,55,10,9,48,55,
17,桃園,2017-04-25,58,12,13,41,58,
16,大同,2017-04-25,59,6,35,,59,
15,松山,2017-04-25,54,7,14,54,53,
14,古亭,2017-04-25,61,6,16,61,53,
13,萬華,2017-04-25,57,9,16,57,52,
12,中山,2017-04-25,54,6,17,54,54,
11,士林,2017-04-25,52,6,11,42,52,
10,淡水,2017-04-25,50,5,8,42,50,
9,林口,2017-04-25,64,8,7,46,64,
8,菜寮,2017-04-25,56,9,14,52,56,
7,新莊,2017-04-25,58,10,13,32,58,
6,板橋,2017-04-25,60,12,14,60,60,
5,土城,2017-04-25,73,10,14,73,53,
4,新店,2017-04-25,74,5,14,74,46,
3,萬里,2017-04-25,44,8,5,44,30,
2,汐止,2017-04-25,60,7,12,60,44,
1,基隆,2017-04-25,47,5,7,47,34,
83,麥寮,2017-04-24,70,6,,,70,
80,關山,2017-04-24,34,2,,34,28,
78,馬公,2017-04-24,60,3,3,60,52,
77,金門,2017-04-24,72,10,4,72,71,
75,馬祖,2017-04-24,72,6,6,72,62,
72,埔里,2017-04-24,39,4,7,39,30,
71,復興,2017-04-24,52,7,15,,52,
70,永和,2017-04-24,47,2,16,,47,
69,竹山,2017-04-24,65,4,6,65,58,
68,中壢,2017-04-24,58,8,35,,58,
67,三重,2017-04-24,58,5,22,,58,
66,冬山,2017-04-24,48,4,4,48,47,
65,宜蘭,2017-04-24,54,4,7,54,50,
64,陽明,2017-04-24,51,2,2,51,19,
63,花蓮,2017-04-24,54,2,6,54,34,
62,臺東,2017-04-24,38,1,5,38,32,
61,恆春,2017-04-24,55,1,2,55,28,
60,潮州,2017-04-24,94,6,6,94,56,
59,屏東,2017-04-24,85,4,8,85,48,
58,小港,2017-04-24,60,9,8,60,51,
57,前鎮,2017-04-24,54,7,,,54,
56,前金,2017-04-24,81,6,8,81,56,
54,左營,2017-04-24,84,5,6,84,54,
53,楠梓,2017-04-24,78,6,7,78,60,
52,林園,2017-04-24,96,6,6,96,38,
51,大寮,2017-04-24,75,6,8,75,52,
50,鳳山,2017-04-24,57,5,9,,57,
49,仁武,2017-04-24,76,7,6,76,56,
48,橋頭,2017-04-24,54,4,7,50,54,
47,美濃,2017-04-24,59,2,4,59,28,
46,臺南,2017-04-24,73,5,7,73,48,
45,安南,2017-04-24,75,4,6,75,56,
44,善化,2017-04-24,64,4,5,64,52,
43,新營,2017-04-24,64,4,5,58,64,
42,嘉義,2017-04-24,58,6,7,58,,
41,臺西,2017-04-24,60,6,,,60,
40,朴子,2017-04-24,75,5,4,75,64,
39,新港,2017-04-24,68,6,5,68,65,
38,崙背,2017-04-24,73,5,5,73,64,
37,斗六,2017-04-24,72,6,6,72,66,
36,南投,2017-04-24,58,3,9,53,58,
35,二林,2017-04-24,68,5,5,68,66,
34,線西,2017-04-24,66,7,,,66,
33,彰化,2017-04-24,64,8,8,64,58,
32,西屯,2017-04-24,71,6,6,71,58,
31,忠明,2017-04-24,66,5,8,66,54,
30,大里,2017-04-24,67,5,11,67,64,
29,沙鹿,2017-04-24,78,8,7,78,60,
28,豐原,2017-04-24,72,4,7,72,52,
27,三義,2017-04-24,54,3,5,54,41,
26,苗栗,2017-04-24,57,3,8,57,45,
25,頭份,2017-04-24,50,4,,,50,
24,新竹,2017-04-24,52,4,9,52,44,
23,竹東,2017-04-24,33,4,7,31,33,
22,湖口,2017-04-24,49,7,10,49,48,
21,龍潭,2017-04-24,48,4,12,38,48,
20,平鎮,2017-04-24,52,7,17,43,52,
19,觀音,2017-04-24,53,9,5,52,53,
18,大園,2017-04-24,52,7,7,52,50,
17,桃園,2017-04-24,48,9,13,47,48,
16,大同,2017-04-24,54,5,22,,54,
15,松山,2017-04-24,48,5,10,41,48,
14,古亭,2017-04-24,46,5,13,46,44,
13,萬華,2017-04-24,45,6,10,45,45,
12,中山,2017-04-24,48,2,13,46,48,
11,士林,2017-04-24,50,2,6,50,39,
10,淡水,2017-04-24,48,1,7,48,43,
9,林口,2017-04-24,56,5,7,50,56,
8,菜寮,2017-04-24,47,4,11,47,45,
7,新莊,2017-04-24,51,4,18,49,51,
6,板橋,2017-04-24,50,5,16,43,50,
5,土城,2017-04-24,45,4,10,45,38,
4,新店,2017-04-24,45,3,11,45,41,
3,萬里,2017-04-24,40,3,4,40,40,
2,汐止,2017-04-24,42,4,9,42,42,
1,基隆,2017-04-24,51,2,6,51,38,
83,麥寮,2017-04-23,60,6,,,60,
80,關山,2017-04-23,44,2,,44,27,
78,馬公,2017-04-23,69,4,3,69,51,
77,金門,2017-04-23,77,8,4,70,77,
75,馬祖,2017-04-23,71,5,3,71,61,
72,埔里,2017-04-23,44,3,5,44,34,
71,復興,2017-04-23,37,8,10,,37,
70,永和,2017-04-23,43,2,4,,43,
69,竹山,2017-04-23,56,4,5,56,56,
68,中壢,2017-04-23,50,3,11,,50,
67,三重,2017-04-23,56,8,14,,56,
66,冬山,2017-04-23,51,2,2,51,49,
65,宜蘭,2017-04-23,54,2,3,54,47,
64,陽明,2017-04-23,60,5,2,60,27,
63,花蓮,2017-04-23,53,2,5,53,44,
62,臺東,2017-04-23,40,1,4,40,24,
61,恆春,2017-04-23,58,2,2,58,24,
60,潮州,2017-04-23,56,5,6,47,56,
59,屏東,2017-04-23,46,6,8,36,46,
58,小港,2017-04-23,45,16,7,43,45,
57,前鎮,2017-04-23,44,7,,,44,
56,前金,2017-04-23,50,7,8,50,43,
54,左營,2017-04-23,51,4,7,51,47,
53,楠梓,2017-04-23,56,5,7,45,56,
52,林園,2017-04-23,52,8,5,52,26,
51,大寮,2017-04-23,52,6,5,39,52,
50,鳳山,2017-04-23,53,8,8,,53,
49,仁武,2017-04-23,49,6,6,48,49,
48,橋頭,2017-04-23,53,4,6,38,53,
47,美濃,2017-04-23,40,2,5,40,39,
46,臺南,2017-04-23,48,4,8,48,41,
45,安南,2017-04-23,48,4,7,45,48,
44,善化,2017-04-23,43,5,6,34,43,
43,新營,2017-04-23,54,4,6,37,54,
42,嘉義,2017-04-23,50,6,6,42,50,
41,臺西,2017-04-23,51,6,,,51,
40,朴子,2017-04-23,67,4,5,67,56,
39,新港,2017-04-23,61,4,5,61,53,
38,崙背,2017-04-23,66,5,6,66,51,
37,斗六,2017-04-23,59,5,6,59,54,
36,南投,2017-04-23,54,2,7,51,54,
35,二林,2017-04-23,64,5,5,64,51,
34,線西,2017-04-23,52,5,,,52,
33,彰化,2017-04-23,61,6,6,61,46,
32,西屯,2017-04-23,65,4,4,65,38,
31,忠明,2017-04-23,63,3,6,63,35,
30,大里,2017-04-23,56,3,6,56,40,
29,沙鹿,2017-04-23,64,3,5,64,40,
28,豐原,2017-04-23,53,6,6,53,31,
27,三義,2017-04-23,49,2,4,49,32,
26,苗栗,2017-04-23,51,4,4,51,49,
25,頭份,2017-04-23,55,2,,,55,
24,新竹,2017-04-23,59,2,4,59,51,
23,竹東,2017-04-23,46,3,4,46,43,
22,湖口,2017-04-23,59,4,3,59,47,
21,龍潭,2017-04-23,57,3,4,57,54,
20,平鎮,2017-04-23,56,3,4,56,51,
19,觀音,2017-04-23,61,10,4,61,54,
18,大園,2017-04-23,58,6,3,58,52,
17,桃園,2017-04-23,53,4,4,53,43,
16,大同,2017-04-23,54,6,11,,54,
15,松山,2017-04-23,49,4,5,49,39,
14,古亭,2017-04-23,55,3,3,55,34,
13,萬華,2017-04-23,47,3,5,47,44,
12,中山,2017-04-23,44,3,6,44,41,
11,士林,2017-04-23,53,4,3,53,43,
10,淡水,2017-04-23,50,3,4,50,43,
9,林口,2017-04-23,54,4,3,54,53,
8,菜寮,2017-04-23,51,5,4,51,42,
7,新莊,2017-04-23,54,3,4,54,43,
6,板橋,2017-04-23,52,5,5,52,40,
5,土城,2017-04-23,56,2,4,56,38,
4,新店,2017-04-23,56,2,4,56,42,
3,萬里,2017-04-23,66,4,2,66,51,
2,汐止,2017-04-23,54,5,5,54,38,
1,基隆,2017-04-23,56,4,4,56,32,
83,麥寮,2017-04-22,47,10,,,47,
80,關山,2017-04-22,42,2,,42,27,
78,馬公,2017-04-22,54,1,4,54,38,
77,金門,2017-04-22,60,6,5,52,60,
75,馬祖,2017-04-22,62,4,3,62,54,
72,埔里,2017-04-22,43,2,4,32,43,
71,復興,2017-04-22,35,4,10,,35,
70,永和,2017-04-22,41,3,8,,41,
69,竹山,2017-04-22,33,3,5,32,33,
68,中壢,2017-04-22,48,3,14,,48,
67,三重,2017-04-22,54,3,17,,54,
66,冬山,2017-04-22,52,3,3,52,34,
65,宜蘭,2017-04-22,54,2,4,54,27,
64,陽明,2017-04-22,61,3,3,61,19,
63,花蓮,2017-04-22,56,3,4,56,32,
62,臺東,2017-04-22,44,1,4,44,28,
61,恆春,2017-04-22,54,1,2,54,22,
60,潮州,2017-04-22,46,3,4,42,46,
59,屏東,2017-04-22,35,2,5,35,31,
58,小港,2017-04-22,37,9,6,34,37,
57,前鎮,2017-04-22,39,4,,,39,
56,前金,2017-04-22,46,5,6,38,46,
54,左營,2017-04-22,43,4,5,38,43,
53,楠梓,2017-04-22,52,3,5,37,52,
52,林園,2017-04-22,45,5,5,45,21,
51,大寮,2017-04-22,46,3,4,34,46,
50,鳳山,2017-04-22,49,5,7,,49,
49,仁武,2017-04-22,44,4,5,36,44,
