year,American,U.K,Australia,Japan,Canada,France,Germany,NewZealand
1998,13109,6173,2092,1649,2359,342,305,342
1999,14443,6553,2065,1573,2159,411,295,391
2000,15547,8567,2104,1753,2583,552,313,496
2001,14878,7583,2397,1696,2296,562,345,645
2002,13767,9548,2894,1745,2433,529,400,740
2003,10324,6662,2823,1337,1813,627,442,571
2004,14054,9207,2246,1556,2149,580,402,534
2005,15525,9248,2679,1748,2140,600,475,498
2006,16451,9653,2862,2108,1997,690,512,538
2007,14916,7132,2570,2424,3984,723,606,618
2008,19402,5885,2370,2638,3266,983,558,596
2009,15594,3895,4176,3143,2320,882,646,469
2010,15890,3610,3633,3253,2814,935,702,379
2011,16023,4446,3149,2825,912,814,636,743
2012,15219,3378,3198,2810,826,800,512,250
2013,14563,3367,2553,3140,1771,955,787,553
2014,14135,3826,5237,3885,1109,1064,901,540
2015,14547,3408,6651,4703,1271,1100,1252,671
