SiteName,UVI,PublishAgency,County,WGS84Lon,WGS84Lat,PublishTime
花蓮,2.27,中央氣象局,花蓮縣,121.4 ,23.583,2015/11/16 15:00
馬祖,1.58,中央氣象局,連江縣,119.5524,26.1009,2015/11/16 15:00
高雄,1.91,中央氣象局,高雄市,120.1857,22.3358,2015/11/16 15:00
玉山,3.49,中央氣象局,南投縣,120.5734,23.2915,2015/11/16 15:00
臺南,1.99,中央氣象局,臺南市,120.1217,22.5936,2015/11/16 15:00
新竹,1.94,中央氣象局,新竹縣,121.0051,24.494,2015/11/16 15:00
鞍部,1.93,中央氣象局,臺北市,121.3147,25.1057,2015/11/16 15:00
恆春,2.71,中央氣象局,屏東縣,120.4447,22.0014,2015/11/16 15:00
臺北,1.55,中央氣象局,臺北市,121.3053,25.0216,2015/11/16 15:00
成功,3.09,中央氣象局,臺東縣,121.2224,23.0551,2015/11/16 15:00
基隆,1.46,中央氣象局,基隆市,121.4426,25.076,2015/11/16 15:00
新屋,1.95,中央氣象局,桃園市,121.0251,25.0024,2015/11/16 15:00
蘭嶼,2.48,中央氣象局,臺東縣,121.333,22.0213,2015/11/16 15:00
臺東,2.55,中央氣象局,臺東縣,121.0917,22.4508,2015/11/16 15:00
日月潭,1.94,中央氣象局,南投縣,120.5429,23.5253,2015/11/16 15:00
金門,1.96,中央氣象局,金門縣,118.1721,24.2426,2015/11/16 15:00
宜蘭,1.9,中央氣象局,宜蘭縣,121.4524,24.455,2015/11/16 15:00
澎湖,2.77,中央氣象局,澎湖縣,119.3347,23.3356,2015/11/16 15:00
臺中,1.43,中央氣象局,臺中市,120.4103,24.0845,2015/11/16 15:00
嘉義,1.53,中央氣象局,嘉義市,120.2558,23.2945,2015/11/16 15:00
屏東,2,環境保護署,屏東縣,120.2916,22.4023,2015/11/16 15:00
橋頭,2,環境保護署,高雄市,120.182,22.4527,2015/11/16 15:00
新營,2,環境保護署,臺南市,120.192,23.182,2015/11/16 15:00
朴子,3,環境保護署,嘉義縣,120.145,23.2755,2015/11/16 15:00
塔塔加,5,環境保護署,嘉義縣,120.525,23.2814,2015/11/16 15:00
阿里山,1,環境保護署,嘉義縣,120.4805,23.303,2015/11/16 15:00
斗六,2,環境保護署,雲林縣,120.3241,23.4242,2015/11/16 15:00
彰化,3,環境保護署,彰化縣,120.329,24.0357,2015/11/16 15:00
沙鹿,3,環境保護署,臺中市,120.347,24.1332,2015/11/16 15:00
苗栗,2,環境保護署,苗栗縣,120.4912,24.3354,2015/11/16 15:00
桃園,3,環境保護署,桃園市,121.1911,24.5941,2015/11/16 15:00
板橋,2,環境保護署,新北市,121.2731,25.0046,2015/11/16 15:00
淡水,2,環境保護署,新北市,121.2657,25.0952,2015/11/16 15:00
南投,2,環境保護署,南投縣,120.417,23.5446,2015/11/16 14:00
